sku_id,category,name,mrp,discount_percent,discounted_selling_price,weight_in_gms,available_quantity,out_of_stock
SKU00049,"Fruits & Vegetables",Coriander Leaves,23330,9,21230,2000,120,False
SKU00124,"Fruits & Vegetables",Lemon,12496,15,10621,1000,33,False
SKU02165,Personal Care,Cotton Balls,85690,13,74550,50,0,True
SKU01660,"Cleaning & Household",Garbage Bags - Large,35458,22,27657,200,0,True
SKU01481,Beverages,Protein Shake - MuscleBlaze,10164,1,10062,,105,False
SKU00993,"Snacks & Munchies",Bourbon Biscuit,12724,31,8779,150,4,False
SKU02739,"Bakery & Biscuits",Khari Biscuit,28233,29,20045,40,109,False
SKU00515,"Dairy & Bread",Amul Gold Milk,41298,18,33864,1000,102,False
SKU00364,"Fruits & Vegetables","Amla (Indian Gooseberry)",8546,26,6324,1000,162,False
SKU01936,Personal Care,Oral-B Toothbrush,43580,34,28762,50,0,True
SKU00950,"Snacks & Munchies",Parle Rusk,31463,66,10697,30,0,True
SKU00547,"Dairy & Bread","Curd - Plain (400g)",17045,43,9715,,124,False
SKU01119,"Snacks & Munchies","Fox Nuts (Makhana)",22487,20,17989,50,112,False
SKU00982,"Snacks & Munchies",Oreo - Original,0,10,0,90,139,False
SKU03238,Pet Care,Pedigree Dog Food - Chicken,129461,16,108747,400,36,False
SKU02624,"Bakery & Biscuits",Britannia Cake - Chocolate,10653,67,3515,100,2,False
SKU02161,Personal Care,Cotton Balls,72575,16,60963,500,80,False
SKU00531,"Dairy & Bread",Britannia Cheese Slices,33886,,33886,500,185,False
SKU02585,"Instant & Frozen Food",Pasta - Barilla Penne,20267,30,14186,70,150,False
SKU01805,"Cleaning & Household",Fabric Softener - Comfort,61478,22,47952,750,171,False
SKU03320,Pet Care,Cat Litter - Clumping,147250,5,139887,400,149,False
SKU02822,"Bakery & Biscuits",Rusk - Premium,15277,32,10388,200,39,False
SKU03085,Baby Care,Baby Shampoo - Johnson's,61256,4,58805,200,172,False
SKU00616,"Dairy & Bread",Pav - Ladi,33311,59,13657,400,187,False
SKU01294,Beverages,Red Bull 250ml,20034,0,20034,500,61,False
SKU01669,"Cleaning & Household",Aluminium Foil - 9m,61828,6,58118,1000,117,False
SKU02490,"Instant & Frozen Food",Upma Mix - MTR,48855,41,28824,400,111,False
SKU00020,"Fruits & Vegetables",Tomato - Hybrid,3507,21,2770,500,0,True
SKU01943,Personal Care,Listerine Mouthwash,97796,35,63567,75,0,True
SKU02063,Personal Care,Dettol Soap - 125g,6768,8,6226,75,130,False
SKU02769,"Bakery & Biscuits",Patties - Chicken,26063,17,21632,,71,False
SKU03376,Pet Care,Dog Leash,98306,52,47186,100,0,True
SKU00485,"Fruits & Vegetables",Spring Onion,5841,21,4614,2000,46,False
SKU03338,Pet Care,Dog Shampoo,79898,33,53531,400,76,False
SKU03306,Pet Care,Drools Dog Treat,52440,,48769,400,63,False
SKU01286,Beverages,Paper Boat Aam Panna,22861,1,22632,750,66,False
SKU01575,"Cleaning & Household",Harpic Toilet Cleaner,57131,5,54274,200,144,False
SKU01015,"Snacks & Munchies",Jim Jam Biscuit,21384,4,20528,30,53,False
SKU01960,Personal Care,"Head & Shoulders Shampoo",116390,34,76817,200,104,False
SKU00360,"Fruits & Vegetables","Amla (Indian Gooseberry)",23647,31,16316,500,179,False
SKU03218,Baby Care,Baby Bib,192199,30,134539,200,0,True
SKU02103,Personal Care,Gillette Mach3 Razor,67409,0,67409,250,16,False
SKU01491,Beverages,Horlicks 500g,31958,27,23329,1000,69,False
SKU01114,"Snacks & Munchies","Fox Nuts (Makhana)",31648,15,26900,200,153,False
SKU01732,"Cleaning & Household",Hit Cockroach Spray,23271,30,16289,2000,47,False
SKU01757,"Cleaning & Household",Hand Wash - Dettol,45593,10,41033,,0,True
SKU02078,Personal Care,Dove Beauty Bar,119951,30,83965,250,0,True
SKU02912,"Bakery & Biscuits",Sourdough Bread,32480,29,23060,200,155,False
